CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;166002;VARETA VALVULA MOTOR ;166002;101;LOCAL WMS; ;4;0;4;S;10301;CARCACA DE MUDANCAS
6;166021;PARAFUSO;166021;101;LOCAL WMS; ;4;0;4;S;11301;CHAPA DO ASSOALHO
6;166151;ROLAMENTO C/ BUCHA PONTA PILOTO F250 F350 F4000;166151;101;LOCAL WMS; ;1;1;0;S;10401;EIX DIANT/TRAS/TRUCK/CARRETA
6;167001;KIT EMBREAGEM 400MM DUPLA COMPLETA MBB;167001;101;LOCAL WMS; ;1;1;0;S;10201;PLATO EMBREAGEM
6;167056;PARAFUSO JETCOOLER;167056;101;LOCAL WMS; ;12;4;8;S;10121;SISTEMA ESCAPAMENTO
6;169951;KIT VALVULA C/ ANEL TERMOSTATICA MB 83 GRAUS;169951;101;LOCAL WMS; ;3;3;0;S;10701;ALTERNADOR
6;169998;ANEL SINCRONIZADOR GV / REDUZIDA MOLIBDENIO ROSCA MODERNO;169998;101;LOCAL WMS; ;4;4;0;S;10301;CARCACA DE MUDANCAS
6;170140;PINO TRAVA TRAMBULADOR CAMBIO;170140;101;LOCAL WMS; ;1;0;1;S;10302;TRAMBULADOR SELETOR MARCHAS
6;170274;LUVA ENGATE 3ª / 4ª MARCHA MODERNA 16S1650/ 1685/ 221/ 2180/ 2320;170274;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;170296;ELEMENTO FILTRO OLEO LUBRIFICANTE OM447 // OM457;170296;101;LOCAL WMS; ;1;0;1;S;10801;FILTRO DE AR
6;170420;TUBO LIGACAO BOMBA AGUA MBB BORRACHA;170420;101;LOCAL WMS; ;3;1;2;S;10301;CARCACA DE MUDANCAS
6;170517;MOLA PINO TRAVA TRAMBULADOR CAMBIO;170517;101;LOCAL WMS; ;11;10;1;S;10302;TRAMBULADOR SELETOR MARCHAS
6;170518;MOLA ACO MAIOR PINO BLOQUEIO MARCHAS;170518;101;LOCAL WMS; ;15;10;5;S;10301;CARCACA DE MUDANCAS
6;171543;ROLAMENTO PINHAO DIFERENCIAL;171543;101;LOCAL WMS; ;1;0;1;S;11001;ROLAMENTO
